reward,difficulty,duration,offer_type,id,readable_id,email,mobile,social,web
10,10,7,bogo,ae264e3637204a6fb9bb56bc8210ddfd,BOGO - $10 - 7days,1,1,1,0
10,10,5,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,BOGO - $10 - 5days,1,1,1,1
0,0,4,informational,3f207df678b143eea3cee63160fa8bed,INFO - $0 - 4days,1,1,0,1
5,5,7,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,BOGO - $5 - 7days,1,1,0,1
5,20,10,discount,0b1e1539f2cc45b7b9fa7c272da2e1d7,DISC - \$20/\$5 - 10days,1,0,0,1
3,7,7,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,DISC - $7/$3 - 7days,1,1,1,1
2,10,10,discount,fafdcd668e3743c1bb461111dcafc2a4,DISC - \$10/\$2 - 10days,1,1,1,1
0,0,3,informational,5a8bc65990b245e5a138643cd4eb9837,INFO - $0 - 3days,1,1,1,0
5,5,5,bogo,f19421c1d4aa40978ebb69ca19b0e20d,BOGO - $5 - 5days,1,1,1,1
2,10,7,discount,2906b810c7d4411798c6938adc9daaa5,DISC - \$10/\$2 - 7days,1,1,0,1
